method_name,regular_summary,bpe_summary,original_code,docstring,human_score
Bindable.withExistingValue,����������ڴ���һ�����º��Bindableʵ��������������һ�����е�ֵ������ͨ��������֤existingValue�����Ƿ����������Ҫô��null��Ҫô�ǵ�ǰ���͵����飬Ҫô�ǵ�ǰ���͵�ʵ�������Ÿ���existingValue�Ƿ�Ϊnull��������Ӧ�̣�Supplier����ֵ�����existingValue��Ϊnull����ʹ�ø�ֵ��ʼ��Supplier����󣬷���һ���µ�Bindableʵ������ʵ��ʹ��ָ�������͡��ѽ����ĺ�װ���͡��ṩ��Supplier����ע����й��졣,����һ����������ֵ�ĸ���Bindableʵ��,"public Bindable<T> withExistingValue(T existingValue) {
		Assert.isTrue(
				existingValue == null || this.type.isArray()
						|| this.boxedType.resolve().isInstance(existingValue),
				() -> ""ExistingValue must be an instance of "" + this.type);
		Supplier<T> value = (existingValue != null) ? () -> existingValue : null;
		return new Bindable<>(this.type, this.boxedType, value, NO_ANNOTATIONS);
	}","Create an updated {@link Bindable} instance with an existing value.
@param existingValue the existing value
@return an updated {@link Bindable}",2
WebServiceTemplateBuilder.additionalMessageSenders,�÷���������WebServiceTemplate���Ӷ����WebServiceMessageSenders��������ͨ��Assert��ȷ���������messageSenders��Ϊ�գ�Ȼ����ЩmessageSendersת��ΪList��������һ�����ط���additionalMessageSenders������������������ڹ�����ģʽ��׷�Ӹ������Ϣ�����ߣ�������һ���µ�WebServiceTemplateBuilderʵ����,���Ӷ����WebService��Ϣ�����߲������µĹ�����ʵ����,"public WebServiceTemplateBuilder additionalMessageSenders(
			WebServiceMessageSender... messageSenders) {
		Assert.notNull(messageSenders, ""MessageSenders must not be null"");
		return additionalMessageSenders(Arrays.asList(messageSenders));
	}","Add additional {@link WebServiceMessageSender WebServiceMessageSenders} that should
be used with the {@link WebServiceTemplate}.
@param messageSenders the message senders to add
@return a new builder instance.
@see #messageSenders(WebServiceMessageSender...)",2
HttpTunnelServer.handle,�÷������������HTTP���ӡ���ͨ���������̵߳Ĵ����������������HTTP���ӣ�Ȼ����� httpConnection.waitForResponse() �ȴ���Ӧ��������� ConnectException �쳣���򷵻� HTTP ״̬��Ϊ GONE ����Ӧ��,���������HTTP���ӣ����������������Ӧ,"protected void handle(HttpConnection httpConnection) throws IOException {
		try {
			getServerThread().handleIncomingHttp(httpConnection);
			httpConnection.waitForResponse();
		}
		catch (ConnectException ex) {
			httpConnection.respond(HttpStatus.GONE);
		}
	}","Handle an incoming HTTP connection.
@param httpConnection the HTTP connection
@throws IOException in case of I/O errors",2
ConfigurationPropertySources.from,�÷�����һ��������Spring PropertySource����Ϊһ���µ�SpringConfigurationPropertySource��������һ�������˵�һ����Source��Iterable���ϡ�,��Spring PropertySource�����ͷ���һ��SpringConfigurationPropertySource�ļ���,"public static Iterable<ConfigurationPropertySource> from(PropertySource<?> source) {
		return Collections.singleton(SpringConfigurationPropertySource.from(source));
	}","Return {@link Iterable} containing a single new {@link ConfigurationPropertySource}
adapted from the given Spring {@link PropertySource}.
@param source the Spring property source to adapt
@return an {@link Iterable} containing a single newly adapted
{@link SpringConfigurationPropertySource}",2
AutoConfigurationImportSelector.getAutoConfigurationEntry,�����ṩ��ע��Ԫ���ݻ�ȡ�Զ�������Ŀ�� �������ȼ�������Ƿ����ã�Ȼ���ע��Ԫ�����л�ȡ���Ժͺ�ѡ���ã���ȥ���ظ�����ţ���ȡ�ų�����б��������ų���顣ʣ������ûᰴ���Զ�����Ԫ���ݽ��й��ˡ���󣬴����Զ����õ����¼���������һ��������Ч���ú��ų��б���AutoConfigurationEntry����,���ػ���ע��Ԫ���ݵ��Զ�������Ŀ��,"protected AutoConfigurationEntry getAutoConfigurationEntry(
			AutoConfigurationMetadata autoConfigurationMetadata,
			AnnotationMetadata annotationMetadata) {
		if (!isEnabled(annotationMetadata)) {
			return EMPTY_ENTRY;
		}
		AnnotationAttributes attributes = getAttributes(annotationMetadata);
		List<String> configurations = getCandidateConfigurations(annotationMetadata,
				attributes);
		configurations = removeDuplicates(configurations);
		Set<String> exclusions = getExclusions(annotationMetadata, attributes);
		checkExcludedClasses(configurations, exclusions);
		configurations.removeAll(exclusions);
		configurations = filter(configurations, autoConfigurationMetadata);
		fireAutoConfigurationImportEvents(configurations, exclusions);
		return new AutoConfigurationEntry(configurations, exclusions);
	}","Return the {@link AutoConfigurationEntry} based on the {@link AnnotationMetadata}
of the importing {@link Configuration @Configuration} class.
@param autoConfigurationMetadata the auto-configuration metadata
@param annotationMetadata the annotation metadata of the configuration class
@return the auto-configurations that should be imported",2
CommonSynonymDictionaryEx.distance,�÷����������������ַ������������ľ��롣����ͨ������`get`������ȡ�����ַ���`a`��`b`�Ĵ����������һ����Ϊ`null`���򷵻��������ֵ������֮һ����ʾ���޾��롣Ȼ�����`ArrayDistance.computeAverageDistance`���������㲢������������֮���ƽ�����롣,���������ַ�����������룬�����������ƽ�����롣,"public long distance(String a, String b)
    {
        Long[] itemA = get(a);
        if (itemA == null) return Long.MAX_VALUE / 3;
        Long[] itemB = get(b);
        if (itemB == null) return Long.MAX_VALUE / 3;

        return ArrayDistance.computeAverageDistance(itemA, itemB);
    }","�������
@param a
@param b
@return",2
RawConfigurationMetadata.resolveName,�÷������ڽ���ConfigurationMetadataItem��������ơ����ȣ����������������Ϊ��ID��Ĭ��ֵ��Ȼ�󣬸÷������Ի�ȡ��ö����Ӧ��ConfigurationMetadataSource���������������Ӧ��source���÷�������ȡsource��groupId�����������ID���бȽϡ����ID��groupId����һ����ſ�ͷ���򽫵�ź�Ĳ�������Ϊ������ơ�,����ConfigurationMetadataItem������ƣ������Դ�ƥ���source����ȡ���ơ�,"private void resolveName(ConfigurationMetadataItem item) {
		item.setName(item.getId()); // fallback
		ConfigurationMetadataSource source = getSource(item);
		if (source != null) {
			String groupId = source.getGroupId();
			String dottedPrefix = groupId + ""."";
			String id = item.getId();
			if (hasLength(groupId) && id.startsWith(dottedPrefix)) {
				String name = id.substring(dottedPrefix.length());
				item.setName(name);
			}
		}
	}","Resolve the name of an item against this instance.
@param item the item to resolve
@see ConfigurationMetadataProperty#setName(String)",1
CharacterBasedGenerativeModel.learn,�÷���ͨ����������Ĵ��б�����ÿ���ʰ��ַ�����Ϊ��ʼ���м�ͽ���״̬�������ӵ�һ���ַ���������С����ڵ��ַ��ʣ�ֱ�ӱ��Ϊ's'�����ڶ��ַ��ʣ����ַ����Ϊ'b'���м��ַ����Ϊ'm'��ĩ�ַ����Ϊ'e'��Ȼ��ʹ����Щ�ַ��Դ���һ�����ڣ���Ӧ����Ԫ����Ԫ��һԪ�ֵ�Ƶ��ͳ�ƣ��԰�����������ģ�͡�,ģ�ʹӴ��б�ѧϰ�ַ����У�����Ƶ��ͳ�����γ�����ģ�͡�,"public void learn(List<Word> wordList)
    {
        LinkedList<char[]> sentence = new LinkedList<char[]>();
        for (IWord iWord : wordList)
        {
            String word = iWord.getValue();
            if (word.length() == 1)
            {
                sentence.add(new char[]{word.charAt(0), 's'});
            }
            else
            {
                sentence.add(new char[]{word.charAt(0), 'b'});
                for (int i = 1; i < word.length() - 1; ++i)
                {
                    sentence.add(new char[]{word.charAt(i), 'm'});
                }
                sentence.add(new char[]{word.charAt(word.length() - 1), 'e'});
            }
        }
        // ת����ϣ���ʼͳ��
        char[][] now = new char[3][];   // ����3�Ķ���
        now[1] = bos;
        now[2] = bos;
        tf.add(1, bos, bos);
        tf.add(2, bos);
        for (char[] i : sentence)
        {
            System.arraycopy(now, 1, now, 0, 2);
            now[2] = i;
            tf.add(1, i);   // uni
            tf.add(1, now[1], now[2]);   // bi
            tf.add(1, now);   // tri
        }
    }","��ģ�͹۲�һ������
@param wordList",2
ConditionEvaluationReport.recordEvaluationCandidates,�÷������ڼ�¼��Ϊ����������ѡ��������ơ����ȣ���ȷ���ṩ�Ķ��� evaluationCandidates ���� null��Ȼ����Щ����������ӵ� unconditionalClasses �����С�,��¼����������ѡ����,"public void recordEvaluationCandidates(List<String> evaluationCandidates) {
		Assert.notNull(evaluationCandidates, ""evaluationCandidates must not be null"");
		this.unconditionalClasses.addAll(evaluationCandidates);
	}","Records the names of the classes that are candidates for condition evaluation.
@param evaluationCandidates the names of the classes whose conditions will be
evaluated",2
AtomikosProperties.asProperties,"This method constructs a Properties object containing Atomikos configuration properties. It populates this Properties object by calling set() to insert key-value pairs. The keys are various configuration settings like 'service', 'max_timeout', and others, while the values are obtained by calling corresponding getter methods. The method also retrieves a Recovery object to obtain specific retry and delay properties for recovery settings. Finally, it returns the populated Properties object.",Method to extract Atomikos configuration into a Properties object.,"public Properties asProperties() {
		Properties properties = new Properties();
		set(properties, ""service"", getService());
		set(properties, ""max_timeout"", getMaxTimeout());
		set(properties, ""default_jta_timeout"", getDefaultJtaTimeout());
		set(properties, ""max_actives"", getMaxActives());
		set(properties, ""enable_logging"", isEnableLogging());
		set(properties, ""tm_unique_name"", getTransactionManagerUniqueName());
		set(properties, ""serial_jta_transactions"", isSerialJtaTransactions());
		set(properties, ""allow_subtransactions"", isAllowSubTransactions());
		set(properties, ""force_shutdown_on_vm_exit"", isForceShutdownOnVmExit());
		set(properties, ""default_max_wait_time_on_shutdown"",
				getDefaultMaxWaitTimeOnShutdown());
		set(properties, ""log_base_name"", getLogBaseName());
		set(properties, ""log_base_dir"", getLogBaseDir());
		set(properties, ""checkpoint_interval"", getCheckpointInterval());
		set(properties, ""threaded_2pc"", isThreadedTwoPhaseCommit());
		Recovery recovery = getRecovery();
		set(properties, ""forget_orphaned_log_entries_delay"",
				recovery.getForgetOrphanedLogEntriesDelay());
		set(properties, ""recovery_delay"", recovery.getDelay());
		set(properties, ""oltp_max_retries"", recovery.getMaxRetries());
		set(properties, ""oltp_retry_interval"", recovery.getRetryInterval());
		return properties;
	}","Returns the properties as a {@link Properties} object that can be used with
Atomikos.
@return the properties",2
SparseVector.normalize,�÷������ڱ�׼��ϡ�����������ȼ��������ķ������÷�����ͨ���ڲ�����norm()��õġ��ڼ���������󣬷�������������ÿ��Ԫ�أ���ÿ��Ԫ�ص�ֵ���Է������Ӷ�ʵ�������ı�׼����,��׼��ϡ��������ֵ,"void normalize()
    {
        double nrm = norm();
        for (Map.Entry<Integer, Double> d : entrySet())
        {
            d.setValue(d.getValue() / nrm);
        }
    }",Normalize a vector.,1
WebServiceTemplateBuilder.messageSenders,�÷����������� WebServiceTemplate �� WebServiceMessageSender ���ϣ�ͨ������һ���ǿյ� messageSenders �������滻֮ǰ�������Ϣ�������������κλ��� HTTP ����Ϣ���������������µ� WebServiceTemplateBuilder ʵ����������ʽ���á��˷���ʹ���˶�����ȷ�� messageSenders ���ϲ�Ϊ�գ�Ȼ�󴴽�һ���µ� WebServiceTemplateBuilder ʵ�������˼������ӵ��ڲ������С����Կ���ʹ�� additionalMessageSenders �����������û�����ķ�������,���� WebServiceTemplate ����Ϣ�������������µĹ�����ʵ��,"public WebServiceTemplateBuilder messageSenders(
			Collection<? extends WebServiceMessageSender> messageSenders) {
		Assert.notNull(messageSenders, ""MessageSenders must not be null"");
		return new WebServiceTemplateBuilder(this.detectHttpMessageSender,
				this.interceptors, this.internalCustomizers, this.customizers,
				this.messageSenders.set(messageSenders), this.marshaller,
				this.unmarshaller, this.destinationProvider, this.transformerFactoryClass,
				this.messageFactory);
	}","Sets the {@link WebServiceMessageSender WebServiceMessageSenders} that should be
used with the {@link WebServiceTemplate}. Setting this value will replace any
previously defined message senders, including the HTTP-based message sender, if
any. Consider using {@link #additionalMessageSenders(Collection)} to keep it with
user-defined message senders.
@param messageSenders the message senders to set
@return a new builder instance.
@see #additionalMessageSenders(Collection)
@see #detectHttpMessageSender(boolean)",2
Nature.fromString,"This method safely converts a string representation of a part-of-speech to its corresponding Enum type. It looks up the provided `name` in a map (`idMap`) to find an associated identifier. If no such identifier is found, the method returns null. Otherwise, it uses this identifier to return the Enum value from a predefined array (`values`).","Converts a string to its matching Enum type, returning null if undefined.","public static final Nature fromString(String name)
    {
        Integer id = idMap.get(name);
        if (id == null)
            return null;
        return values[id];
    }","��ȫ�ؽ��ַ������͵Ĵ���תΪEnum���ͣ����δ����ô��ԣ��򷵻�null

@param name �ַ�������
@return Enum����",2
RestTemplateBuilder.requestFactory,�÷�����������RestTemplateʹ�õ�ClientHttpRequestFactory�ࡣ������һ��ClientHttpRequestFactory������Ϊ������������createRequestFactory�����������󹤳�����֮�󷵻�һ���µ�RestTemplateBuilderʵ�����÷���ʹ�ö�����ȷ�������requestFactory������Ϊnull��,����RestTemplate�����󹤳��������µĹ�����ʵ��,"public RestTemplateBuilder requestFactory(
			Class<? extends ClientHttpRequestFactory> requestFactory) {
		Assert.notNull(requestFactory, ""RequestFactory must not be null"");
		return requestFactory(() -> createRequestFactory(requestFactory));
	}","Set the {@link ClientHttpRequestFactory} class that should be used with the
{@link RestTemplate}.
@param requestFactory the request factory to use
@return a new builder instance",2
LexicalAnalyzerPipeline.getAnalyzer,�÷������� LexicalAnalyzerPipeline �е����ж��󣬲����ÿ�������Ƿ�Ϊ LexicalAnalyzerPipe ���͡�����ǣ��򷵻�������Ĵʷ������������û��ƥ��Ķ��󣬷���null���������Ի�ȡ��һ���ʷ������ܵ��еĴʷ���������,�ӹܵ��л�ȡ�ʷ���������������������򷵻�null��,"public LexicalAnalyzer getAnalyzer()
    {
        for (Pipe<List<IWord>, List<IWord>> pipe : this)
        {
            if (pipe instanceof LexicalAnalyzerPipe)
            {
                return ((LexicalAnalyzerPipe) pipe).analyzer;
            }
        }
        return null;
    }","��ȡ�����Ĵʷ�������

@return",2
Utility.shrink,�÷������ڽ�һ�������ķ�������'from'��������һ��Ŀ������'to'�С���ǰ��������'to'����ĳ���С�ڻ����'from'����ĳ��ȡ�����ͨ��ʹ��System.arraycopy��(from)�����и���Ԫ�ص�(to)���飬�ӵ�һ��Ԫ�ؿ�ʼ���ƣ����Ƶ�Ԫ������Ϊ'to'�ĳ��ȣ���󷵻�'to'���顣,ͨ������ʵ����������,"public static <T> T[] shrink(T[] from, T[] to)
    {
        assert to.length <= from.length;
        System.arraycopy(from, 0, to, 0, to.length);
        return to;
    }","����ָ�

@param from Դ
@param to   Ŀ��
@param <T>  ����
@return Ŀ��",2
DependencyCustomizer.add,����һ��ָ��ģ��������ʹ�ø����ķ����������ͣ�����ѡ���������д�����������ͨ��ArtifactCoordinatesResolver����ģ���group ID�Ͱ汾����ʹ��createGrabAnnotation��������ע�͡�,����ģ��������������Ͱ汾������ע�͡�,"public DependencyCustomizer add(String module, String classifier, String type,
			boolean transitive) {
		if (canAdd()) {
			ArtifactCoordinatesResolver artifactCoordinatesResolver = this.dependencyResolutionContext
					.getArtifactCoordinatesResolver();
			this.classNode.addAnnotation(
					createGrabAnnotation(artifactCoordinatesResolver.getGroupId(module),
							artifactCoordinatesResolver.getArtifactId(module),
							artifactCoordinatesResolver.getVersion(module), classifier,
							type, transitive));
		}
		return this;
	}","Add a single dependency with the specified classifier and type and, optionally, all
of its dependencies. The group ID and version of the dependency are resolved from
the module by using the customizer's {@link ArtifactCoordinatesResolver}.
@param module the module ID
@param classifier the classifier, may be {@code null}
@param type the type, may be {@code null}
@param transitive {@code true} if the transitive dependencies should also be added,
otherwise {@code false}
@return this {@link DependencyCustomizer} for continued use",2
InfoPropertiesInfoContributor.replaceValue,�÷�����content�м���Ƿ����ָ����key�����������value��Ϊnull�������µ�value�滻content�ж�Ӧkey��ֵ��,�滻content��ָ��key��ֵΪ��null��value,"protected void replaceValue(Map<String, Object> content, String key, Object value) {
		if (content.containsKey(key) && value != null) {
			content.put(key, value);
		}
	}","Replace the {@code value} for the specified key if the value is not {@code null}.
@param content the content to expose
@param key the property to replace
@param value the new value",1
InitializrService.executeInitializrMetadataRetrieval,�÷���ͨ������һ��HTTP GET��������ָ����URL���������Ԫ���ݡ����ȣ���ʹ�ø�����URLʵ����HttpGet����Ȼ����������ͷ�Խ����ض���Ԫ�����������͡����������execute������ִ�����󣬲�������URL�������������ݽ�ȥ�Է��ؿɹرյ�Http��Ӧ��,ִ��HTTP GET�����Դ�URL��������Ԫ����,"private CloseableHttpResponse executeInitializrMetadataRetrieval(String url) {
		HttpGet request = new HttpGet(url);
		request.setHeader(new BasicHeader(HttpHeaders.ACCEPT, ACCEPT_META_DATA));
		return execute(request, url, ""retrieve metadata"");
	}","Retrieves the meta-data of the service at the specified URL.
@param url the URL
@return the response",1
Binder.bind,"Binds a specified Bindable target by converting a property name string to a ConfigurationPropertyName, and then delegating to another bind method using property sources tied to this binder. It uses a bind handler, which may be null, to manage the binding process.",ͨ�������������Ʋ�ʹ������Դ��Ŀ��Bindable����,"public <T> BindResult<T> bind(String name, Bindable<T> target, BindHandler handler) {
		return bind(ConfigurationPropertyName.of(name), target, handler);
	}","Bind the specified target {@link Bindable} using this binder's
{@link ConfigurationPropertySource property sources}.
@param name the configuration property name to bind
@param target the target bindable
@param handler the bind handler (may be {@code null})
@param <T> the bound type
@return the binding result (never {@code null})",1
MimeMappings.add,�÷�����ӳ����������µ�mimeӳ�䡣�������ļ���չ����mime������Ϊ�������������Ǵ洢����Ϊ'map'��ӳ������С����ָ����չ���Ѿ�����ӳ�䣬�򷵻�֮ǰ��mime���ͣ����򷵻�null��,Ϊ�ļ���չ�������µ�mimeӳ�䣬����ԭӳ��,"public String add(String extension, String mimeType) {
		Mapping previous = this.map.put(extension, new Mapping(extension, mimeType));
		return (previous != null) ? previous.getMimeType() : null;
	}","Add a new mime mapping.
@param extension the file extension (excluding '.')
@param mimeType the mime type to map
@return any previous mapping or {@code null}",1
IOUtil.dirname,�÷�������һ����ʾ�ļ�·�����ַ�����Ϊ������ͨ���������һ��б���ַ�����λ�ļ����ڵ�Ŀ¼�����Ҳ���б�ܣ��򷵻�ԭ·�������򣬷��ش���ʼλ�õ��������һ��б���ַ����ڵ����ַ�������Ϊ�ļ�Ŀ¼·����,��ȡ·���е�Ŀ¼�����������һ��б��֮ǰ�����ַ�����,"public static String dirname(String path)
    {
        int index = path.lastIndexOf('/');
        if (index == -1) return path;
        return path.substring(0, index + 1);
    }","��ȡ�ļ�����Ŀ¼��·��
@param path
@return",2
Segment.combineByCustomDictionary,�˷���ͨ���û��Զ���ʵ�ϲ������Ĵִַʽڵ��б������ȣ����ʽڵ��б�ת��Ϊ���顣����ʹ��˫�شʻ��ṹ��DAT��BinTrie�����кϲ�����DAT�ϲ��У��Դʽڵ����״̬ת�Ʋ��ڴ��ںϲ����ʱ�ϲ��ʽڵ㡣��BinTrie�ϲ��У�����״̬��鲢�ڴ����ۻ�ֵʱ���дʽڵ�ĺϲ������յĺϲ���������»��б������ء�,ʹ���Զ���ʵ�ϲ��ʽڵ��б������غϲ���Ľ����,"protected static List<Vertex> combineByCustomDictionary(List<Vertex> vertexList, DoubleArrayTrie<CoreDictionary.Attribute> dat)
    {
        assert vertexList.size() >= 2 : ""vertexList���ٰ��� ʼ##ʼ �� ĩ##ĩ"";
        Vertex[] wordNet = new Vertex[vertexList.size()];
        vertexList.toArray(wordNet);
        // DAT�ϲ�
        int length = wordNet.length - 1; // ������β
        for (int i = 1; i < length; ++i)
        {
            int state = 1;
            state = dat.transition(wordNet[i].realWord, state);
            if (state > 0)
            {
                int to = i + 1;
                int end = to;
                CoreDictionary.Attribute value = dat.output(state);
                for (; to < length; ++to)
                {
                    state = dat.transition(wordNet[to].realWord, state);
                    if (state < 0) break;
                    CoreDictionary.Attribute output = dat.output(state);
                    if (output != null)
                    {
                        value = output;
                        end = to + 1;
                    }
                }
                if (value != null)
                {
                    combineWords(wordNet, i, end, value);
                    i = end - 1;
                }
            }
        }
        // BinTrie�ϲ�
        if (CustomDictionary.trie != null)
        {
            for (int i = 1; i < length; ++i)
            {
                if (wordNet[i] == null) continue;
                BaseNode<CoreDictionary.Attribute> state = CustomDictionary.trie.transition(wordNet[i].realWord.toCharArray(), 0);
                if (state != null)
                {
                    int to = i + 1;
                    int end = to;
                    CoreDictionary.Attribute value = state.getValue();
                    for (; to < length; ++to)
                    {
                        if (wordNet[to] == null) continue;
                        state = state.transition(wordNet[to].realWord.toCharArray(), 0);
                        if (state == null) break;
                        if (state.getValue() != null)
                        {
                            value = state.getValue();
                            end = to + 1;
                        }
                    }
                    if (value != null)
                    {
                        combineWords(wordNet, i, end, value);
                        i = end - 1;
                    }
                }
            }
        }
        vertexList.clear();
        for (Vertex vertex : wordNet)
        {
            if (vertex != null) vertexList.add(vertex);
        }
        return vertexList;
    }","ʹ���û��ʵ�ϲ��ַֽ��
@param vertexList �ַֽ��
@param dat �û��Զ���ʵ�
@return �ϲ���Ľ��",2
ProjectGenerationRequest.resolveArtifactId,�÷������ڽ�����Ҫʹ�õ�artifactId�����artifactId�ֶβ�Ϊ�գ���ֱ�ӷ�����ֵ�����artifactIdΪ�գ�����output�ֶΣ�������Ϊ��ѡ���output�ֶβ�Ϊ�գ��������ȡ�����һ����֮ǰ�����ַ�����ΪartifactId�����output��û�е㣬�򷵻�������output�ַ�������outputҲΪ�գ��򷵻�null��,����artifactId��ʹ��artifactId�ֶλ��output�Ƶ���ֵ,"protected String resolveArtifactId() {
		if (this.artifactId != null) {
			return this.artifactId;
		}
		if (this.output != null) {
			int i = this.output.lastIndexOf('.');
			return (i != -1) ? this.output.substring(0, i) : this.output;
		}
		return null;
	}","Resolve the artifactId to use or {@code null} if it should not be customized.
@return the artifactId",2
AutoConfigurationImportSelector.getCandidateConfigurations,�÷�������Ӧ���ǵ��Զ�����������Ĭ������£�����ʹ��SpringFactoriesLoader��META-INF/spring.factories���غ�ѡ�Զ������ࡣ�����������SpringFactoriesLoader.loadFactoryNames��������������Ȼ��ȷ�����ص��������б���Ϊ�գ������׳��쳣��,���ز������Զ����������б�,"protected List<String> getCandidateConfigurations(AnnotationMetadata metadata,
			AnnotationAttributes attributes) {
		List<String> configurations = SpringFactoriesLoader.loadFactoryNames(
				getSpringFactoriesLoaderFactoryClass(), getBeanClassLoader());
		Assert.notEmpty(configurations,
				""No auto configuration classes found in META-INF/spring.factories. If you ""
						+ ""are using a custom packaging, make sure that file is correct."");
		return configurations;
	}","Return the auto-configuration class names that should be considered. By default
this method will load candidates using {@link SpringFactoriesLoader} with
{@link #getSpringFactoriesLoaderFactoryClass()}.
@param metadata the source metadata
@param attributes the {@link #getAttributes(AnnotationMetadata) annotation
attributes}
@return a list of candidate configurations",2
Launcher.launch,�÷���ͨ������JarFile.registerUrlProtocolHandler()��ע��URLЭ�鴦������Ȼ��ͨ��createClassLoader()ʹ�ö������·���浵�������Զ�����������������������һ�����ص�launch()�������÷�����Ҫ����args���������ƣ��Լ�֮ǰ�������������������Ӧ�ó��������ĳ�ʼ��ڵ㣬Ӧ���������е�main�������á�,ͨ���Զ��������������Ӧ�ó���ע��URLЭ�鴦������,"protected void launch(String[] args) throws Exception {
		JarFile.registerUrlProtocolHandler();
		ClassLoader classLoader = createClassLoader(getClassPathArchives());
		launch(args, getMainClass(), classLoader);
	}","Launch the application. This method is the initial entry point that should be
called by a subclass {@code public static void main(String[] args)} method.
@param args the incoming arguments
@throws Exception if the application fails to launch",2
FeatureIndex.calcCost,calcCost����ͨ������·������path�е�fvector������·���������������ۡ��������Ƚ�path��cost��ʼ��Ϊ0.0�����alphaFloat_��Ϊnull����ʹ��alphaFloat_�����������������Ӧ��Ȩ���ۼӵ�����c�У����ս��ۼƽ������costFactor_������Ϊpath.cost�����alphaFloat_Ϊnull�������ʹ��alpha_��������ͬ��ʽ����cost���˷�������fvector�е�����ֵ��·�����˽ڵ��yֵ����ѡ����Ӧ��Ȩ�ز�����ת�ƴ��ۡ�,����·�������������ۣ�����·��cost���ԡ�,"public void calcCost(Path path)
    {
        path.cost = 0.0;
        if (alphaFloat_ != null)
        {
            float c = 0.0f;
            for (int i = 0; path.fvector.get(i) != -1; i++)
            {
                c += alphaFloat_[path.fvector.get(i) + path.lnode.y * y_.size() + path.rnode.y];
            }
            path.cost = costFactor_ * c;
        }
        else
        {
            double c = 0.0;
            for (int i = 0; path.fvector.get(i) != -1; i++)
            {
                c += alpha_[path.fvector.get(i) + path.lnode.y * y_.size() + path.rnode.y];
            }
            path.cost = costFactor_ * c;
        }
    }","����ת�����������Ĵ���

@param path ��",2
AbstractErrorWebExceptionHandler.isTraceEnabled,���ָ���ķ������������Ƿ����'trace'���������ж��Ƿ������˴�����١������������л�ȡ'trace'������ֵ��Ĭ��Ϊ'false'���������ֵ�������ַ���'false'���򷵻�true�����������������٣����򷵻�false��,���������'trace'������ȷ�������Ƿ�����,"protected boolean isTraceEnabled(ServerRequest request) {
		String parameter = request.queryParam(""trace"").orElse(""false"");
		return !""false"".equalsIgnoreCase(parameter);
	}","Check whether the trace attribute has been set on the given request.
@param request the source request
@return {@code true} if the error trace has been requested, {@code false} otherwise",2
IOUtil.writeLine,�÷���ͨ��ʹ��BufferedWriter���󽫴��ݵ�String����д�������ÿ���ַ���Ԫ��֮��ʹ���Ʊ����ָ���һ��Ԫ�غ���û���Ʊ����������д��ʧ�ܣ����׳�IOException��,ʹ��BufferedWriter����д���ַ������飬Ԫ��֮�����Ʊ����ָ���,"public static void writeLine(BufferedWriter bw, String... params) throws IOException
    {
        for (int i = 0; i < params.length - 1; i++)
        {
            bw.write(params[i]);
            bw.write('\t');
        }
        bw.write(params[params.length - 1]);
    }","д���飬���Ʊ����ָ�
@param bw
@param params
@throws IOException",2
AhoCorasickDoubleArrayTrie.get,�˷������ڸ����ṩ�ļ���AhoCorasickDoubleArrayTrie�л�ȡ��Ӧ��ֵ�����ȣ�������exactMatchSearch(String key)�����Ҽ���ƥ������������ҵ���Ч�������򷵻ض�Ӧ����λ�õ�ֵ�����е�ֵ�����������Ч���򷵻�null��,���ݼ�����ֵ���������򷵻ض�Ӧ���,"public V get(String key)
    {
        int index = exactMatchSearch(key);
        if (index >= 0)
        {
            return v[index];
        }

        return null;
    }","��ȡֵ

@param key ��
@return",2
ContinuousDistributions.LogGamma,�˷����������ʵ��Z�Ķ���٤������ֵ�����ȣ�������һ����������S���ñ����漰Z�ķ����������㡣���ţ�ʹ��S���������٤��ֵLG��LG�ǻ���Z���������������ϵõ��ġ����շ��ص�LGֵ��ʾ����Z�Ķ���٤������ֵ���˷���ʵ����һ�ָ߾��ȵĽ����㷨�����ڹ���٤�������Ķ�����,��������ֵ�Ķ���٤�����������ؽ��,"public static double LogGamma(double Z)
    {
        double S = 1.0 + 76.18009173 / Z - 86.50532033 / (Z + 1.0) + 24.01409822 / (Z + 2.0) - 1.231739516 / (Z + 3.0) + 0.00120858003 / (Z + 4.0) - 0.00000536382 / (Z + 5.0);
        double LG = (Z - 0.5) * Math.log(Z + 4.5) - (Z + 4.5) + Math.log(S * 2.50662827465);

        return LG;
    }","Log Gamma Function

@param Z
@return",1
ChangedFile.getRelativeName,����getRelativeName�����ļ������Դ�ļ��е����ơ����ȣ�ͨ������getAbsoluteFile()������ȡ�ļ��к��ļ��ľ���File���󡣽��ţ���StringUtils.cleanPath����·����ȷ��·���ָ���һ�¡�Ȼ��ʹ��Assert.stateȷ���ļ�ʵ����λ��Դ�ļ����С������֤ͨ��������·����ȥ��Դ�ļ���·��ǰ׺�Ĳ��֡�,�����ļ������Դ�ļ��е�·������,"public String getRelativeName() {
		File folder = this.sourceFolder.getAbsoluteFile();
		File file = this.file.getAbsoluteFile();
		String folderName = StringUtils.cleanPath(folder.getPath());
		String fileName = StringUtils.cleanPath(file.getPath());
		Assert.state(fileName.startsWith(folderName), () -> ""The file "" + fileName
				+ "" is not contained in the source folder "" + folderName);
		return fileName.substring(folderName.length() + 1);
	}","Return the name of the file relative to the source folder.
@return the relative name",1
